time,node,node_capacity,used_resources
0,pop0,10,0
0,pop1,0,0
0,pop2,10,0
0,pop3,0,0
0,pop4,50,0
0,pop5,0,0
0,pop6,50,0
0,pop7,10,0
0,pop8,0,0
0,pop9,0,0
0,pop10,0,0
0,pop11,0,0
0,pop12,10,0
0,pop13,0,0
0,pop14,0,0
0,pop15,10,0
0,pop16,10,0
0,pop17,0,0
0,pop18,0,0
0,pop19,10,0
0,pop20,10,0
0,pop21,0,0
0,pop22,0,0
0,pop23,0,0
0,pop24,10,0
0,pop25,10,0
0,pop26,0,0
0,pop27,10,0
0,pop28,0,0
0,pop29,0,0
0,pop30,50,0
0,pop31,10,0
0,pop32,50,0
0,pop33,0,0
0,pop34,0,0
0,pop35,0,0
0,pop36,0,0
0,pop37,0,0
0,pop38,0,0
0,pop39,10,0
0,pop40,10,0
0,pop41,50,0
0,pop42,10,0
0,pop43,0,0
0,pop44,0,0
0,pop45,0,0
0,pop46,10,0
0,pop47,0,0
0,pop48,0,0
0,pop49,10,0
0,pop50,0,0
0,pop51,10,0
0,pop52,0,0
0,pop53,0,0
0,pop54,0,0
0,pop55,0,0
0,pop56,0,0
0,pop57,0,0
100,pop0,10,2.0
100,pop1,0,0
100,pop2,10,8.0
100,pop3,0,0
100,pop4,50,41.0
100,pop5,0,0
100,pop6,50,36.0
100,pop7,10,1.0
100,pop8,0,0
100,pop9,0,0
100,pop10,0,0
100,pop11,0,0
100,pop12,10,9.0
100,pop13,0,0
100,pop14,0,0
100,pop15,10,7.0
100,pop16,10,2.0
100,pop17,0,0
100,pop18,0,0
100,pop19,10,9.0
100,pop20,10,10.0
100,pop21,0,0
100,pop22,0,0
100,pop23,0,0
100,pop24,10,8.0
100,pop25,10,3.0
100,pop26,0,0
100,pop27,10,10.0
100,pop28,0,0
100,pop29,0,0
100,pop30,50,14.0
100,pop31,10,0.0
100,pop32,50,23.0
100,pop33,0,0
100,pop34,0,0
100,pop35,0,0
100,pop36,0,0
100,pop37,0,0
100,pop38,0,0
100,pop39,10,0.0
100,pop40,10,0.0
100,pop41,50,32.0
100,pop42,10,0.0
100,pop43,0,0
100,pop44,0,0
100,pop45,0,0
100,pop46,10,8.0
100,pop47,0,0
100,pop48,0,0
100,pop49,10,0.0
100,pop50,0,0
100,pop51,10,5.0
100,pop52,0,0
100,pop53,0,0
100,pop54,0,0
100,pop55,0,0
100,pop56,0,0
100,pop57,0,0
